,Garda Station,Longitude,Latitude
0,Balbriggan Garda Station,-6.190980499999999,53.6143781
1,Ballyfermot Garda Station,-6.358053099999999,53.3447535
2,Ballymun Garda Station,-6.2639223,53.39437419999999
3,Blackrock Garda Station,-6.1775026,53.299793
4,Blanchardstown Garda Station,-6.3809518,53.3899239
5,Bridewell Dublin Garda Station,-6.274125,53.3470808
6,Cabinteely Garda Station,-6.150646099999999,53.2607896
7,Cabra Garda Station,-6.307702,53.3650122
8,Clondalkin Garda Station,-6.3949525,53.3231463
9,Clontarf Garda Station,-6.2202103,53.3634107
10,Coolock Garda Station,-6.201026799999999,53.39031540000001
11,Crumlin Garda Station,-6.3150017,53.3195799
12,Donnybrook Garda Station,-6.2357739,53.3217201
13,Dublin Airport Garda Station,-6.244229499999999,53.4296691
14,Dun Laoghaire Garda Station,-6.1333993,53.28992299999999
15,Dundrum Garda Station,-6.2424769,53.2894908
16,Finglas Garda Station,-6.3064336,53.389656
17,Fitzgibbon Street Garda Station,-6.2556651,53.3578316
18,Garristown Garda Station,-6.383217,53.56733500000001
19,Howth Garda Station,-6.0686199,53.38742389999999
20,Irishtown Garda Station,-6.2230348,53.3381109
21,Kevin Street Garda Station,-6.2694449,53.3383279
22,Kilmainham Garda Station,-6.304575000000001,53.3419475
23,Lucan Garda Station,-6.450605299999999,53.3560186
24,Lusk Garda Station,-6.1673939,53.5233769
25,Malahide Garda Station,-6.152083699999999,53.4510876
26,Mountjoy Garda Station,-6.2668336,53.3605302
27,Pearse Street Garda Station,-6.256193499999999,53.3456887
28,Raheny Garda Station,-6.1780557,53.3788962
29,Rathcoole Garda Station,-6.464697,53.281814
30,Rathfarnham Garda Station,-6.288549,53.2974095
31,Rathmines Garda Station,-6.2669663,53.3213679
32,Ronanstown Garda Station,-6.406166199999999,53.3378782
33,Santry Garda Station,-6.250637999999999,53.3899673
34,Shankill Garda Station,-6.1207366,53.2334881
35,Skerries Garda Station,-6.1069795,53.5795857
36,Store Street Garda Station,-6.251706299999999,53.3504855
37,Sundrive Road Garda Station,-6.298697499999999,53.3302
38,Swords Garda Station,-6.2211123,53.4560235
39,Tallaght Garda Station,-6.3675893,53.2868068
40,Terenure Garda Station,-6.2878101,53.3099895
